Date,Price,Delta,%_Delta,Mkt_State
2015-10-12,246.63,-1.45,1.1961237481247282,1
2015-10-13,249.58,2.95,2.0113791169164124,1
2015-10-14,254.6,5.02,0.05106048703848997,1
2015-10-15,254.73,0.13,2.975699760530763,1
2015-10-16,262.31,7.58,2.577103427242572,1
2015-10-17,269.07,6.76,-2.464042814137583,0
2015-10-18,262.44,-6.63,0.0,0
2015-10-19,262.44,0.0,0.6553878981862625,1
2015-10-20,264.16,1.72,2.135069654754689,1
2015-10-21,269.8,5.64,-0.2594514455151922,0
2015-10-22,269.1,-0.69999999999999,1.8023039762170068,1
2015-10-23,273.95,4.85,1.2703048001460187,1
2015-10-24,277.43,3.48,0.8903146739718021,1
2015-10-25,279.9,2.47,5.398356555912831,1
2015-10-26,295.01,15.11,-3.4100538964780864,0
2015-10-27,284.95,-10.06,3.4321810844007827,1
2015-10-28,294.73,9.78,1.4318189529399687,1
2015-10-29,298.95,4.22,3.8166917544740007,1
2015-10-30,310.36,11.41,6.0703698930274435,1
2015-10-31,329.2,18.84,-5.55285540704738,0
2015-11-01,310.92,-18.28,0.1865431622282208,1
2015-11-02,311.5,0.57999999999998,9.370786516853933,1
2015-11-03,340.69,29.19,20.050485778860548,1
2015-11-04,409.0,68.31,6.858190709046457,1
2015-11-05,437.05,28.05,-8.477290927811465,0
2015-11-06,400.0,-37.05,-2.905000000000001,0
2015-11-07,388.38,-11.62,-0.2574797878366548,0
2015-11-08,387.38,-1.0,-1.5153079663379638,0
2015-11-09,381.51,-5.87,-0.7103352467825167,0
2015-11-10,378.8,-2.71,-6.657866948257663,0
2015-11-11,353.58,-25.22,-12.353639911759718,0
2015-11-12,309.9,-43.68,7.002258793159099,1
2015-11-13,331.6,21.7,0.18094089264172675,1
2015-11-14,332.2,0.59999999999997,-0.09030704394943148,0
2015-11-15,331.9,-0.30000000000001,-2.8833986140403716,0
2015-11-16,322.33,-9.57,2.1685849905376506,1
2015-11-17,329.32,6.99,2.0132394024049542,1
2015-11-18,335.95,6.63,-0.44351838071141814,0
2015-11-19,334.46,-1.49,-1.6324822101297554,0
2015-11-20,329.0,-5.46,-2.5471124620060777,0
2015-11-21,320.62,-8.38,1.5407647682614927,1
2015-11-22,325.56,4.94,-0.9921366261211507,0
2015-11-23,322.33,-3.23,0.6701206837712981,1
2015-11-24,324.49,2.16,-1.0447163240777793,0
2015-11-25,321.1,-3.39,1.214574898785418,1
2015-11-26,325.0,3.9,7.076923076923077,1
2015-11-27,348.0,23.0,3.3160919540229945,1
2015-11-28,359.54,11.54,-1.574233743116211,0
2015-11-29,353.88,-5.66,2.85407482762519,1
2015-11-30,363.98,10.1,2.3490301664926516,1
